conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1897063019294941559,2025-03-04T23:14:04.000Z,0,"Rumah Subsidi Anggota Polri Sulawesi Tenggara Diresmikan, Kapolda Sultra Harap Dukung Kinerja Polisi

@humaskorpsbrimob
@divisihumaspolri
@marwekisugianto
@dankorbrimob
@humas_korps_brimob
#brimobuntukindonesia🇮🇩🇮🇩
#brimob_id
#poldasultra https://t.co/0qJpKtd9XK",1897063019294941559,https://pbs.twimg.com/media/GlO4wP6a4AIJxzk.jpg,,in,,0,0,0,https://x.com/Brimobsultra45/status/1897063019294941559,1681121397589016576,Brimobsultra45
1896893307588157787,2025-03-04T11:59:41.000Z,9,"Apresiasi buat kinerja Polisi. Tapi Bayangin kalo kasusnya macem gini. 

Pemerasnya polisi, yg megang kasusnya juga polisi. Apa gak malah belain temennya?

Inilah alasan knp RUU Kejaksaan penting. Di RUU, Jaksa bisa megang kasus kyk gini dari proses penyelidikannya langsung. https://t.co/VTTpYgfCen",1896893307588157787,https://pbs.twimg.com/media/GlMeXz-XMAA5MFC.jpg,,in,,2,1,1,https://x.com/misterdetektif/status/1896893307588157787,889895805611409408,misterdetektif
1896609761694773653,2025-03-04T02:21:06.000Z,0,"@Heraloebss @Divpropam Coba pak sebutkan 1 aja kinerja polisi yang berhubungan dengan masyarakat yang bener2 clear dan 100%, iklas!",1896747703255933236,,H4ri4n74_13,in,,0,0,0,https://x.com/H4ri4n74_13/status/1896747703255933236,1123857444654993408,H4ri4n74_13
1896738482493837610,2025-03-04T01:44:28.000Z,0,"keren banget Ketua MUI, dukung terus kinerja polisi biar makin solid n jaga masyarakat https://t.co/4Yro8CaMO1",1896738482493837610,https://pbs.twimg.com/ext_tw_video_thumb/1896738412654473216/pu/img/azOyqGpE3p1TMAov.jpg,,in,,0,0,0,https://x.com/kiranadewicn/status/1896738482493837610,399525766,kiranadewicn
1896436627138048140,2025-03-03T13:15:40.000Z,0,"@CNNIndonesia BASI, kaya polisi jg, dibuatkan nomor khusus.. tpi cara lapornya ruibet.... inimah cuman ingin menetralkan suasana... bukan memperbaiki kinerja",1896550041491575105,,CNNIndonesia,in,,0,0,0,https://x.com/bxpl_/status/1896550041491575105,1292672844166356992,bxpl_
1896380377104793872,2025-03-03T02:01:29.000Z,2,"Lihat kinerja Polisi, Bayar Polisi 🤭

Dampak efisiensi mungkin ya? apakah cabang police kedepannya akan melakukan update soal berlangganan? 

NB: saya sensor takut di intimidasi 🙈
© @hnirankara @Mdy_Asmara1701 @Alie_Fahnoor @gtobing2903 https://t.co/xbS9G15ATg",1896380377104793872,https://pbs.twimg.com/media/GlFL4vwbQAA3vDe.jpg,,in,,0,0,1,https://x.com/firman__nurhuda/status/1896380377104793872,1424573456029347840,firman__nurhuda
1896102747411529831,2025-03-02T14:47:11.000Z,0,"@nasri_725 @Heraloebss Menurut survey, kepuasan publik terhadap polri di atas 90% lho. Knp sih di X byk yg nyinyir dgn institusi paling kredibel di negeri ini?isinya 100% org jujur, baik, accountable. Polisi Thailand kampret jgn dibandingin dgn polisi Indo yg luar biasa kinerja dan pengabdiannya.",1896210684356247826,,nasri_725,in,,0,0,0,https://x.com/HendriJaya2023/status/1896210684356247826,1721838773133291520,HendriJaya2023
1896139040786887088,2025-03-02T14:44:43.000Z,0,"@SBYudhoyono Saat ini pemerintahan pk presiden prabowo harus mengembali kan kepercayaan Rakyat terhadap pemerintah,tegak kan hukum dgn adil,benahi kinerja polisi,dan copot kapolri Listiyo sigit prabowo,dan bersih kan sampah yg ada di kabinet nya",1896210064828199284,,SBYudhoyono,in,,0,0,0,https://x.com/RickyDiningrat1/status/1896210064828199284,1170251268633157632,RickyDiningrat1
1896202974621552873,2025-03-02T14:16:33.000Z,0,itwasum Polri itu kayak 'quality control'-nya kinerja polisi gitu ya! Biar makin sip deh trs pelayanan polisinya. Mau tau lebih? Cek: https://t.co/SIIKjOEZjq,1896202974621552873,,,in,,0,0,0,https://x.com/darachyals/status/1896202974621552873,378139448,darachyals
1896185722857799920,2025-03-02T13:08:00.000Z,0,mantap! Itwasum Polri ternyata pengawas kinerja top buat semua jajaran polisi. Transparansi dan akuntabilitas wajib dijaga. Info lengkap klik sini https://t.co/Flrt37NI62,1896185722857799920,,,in,,0,0,0,https://x.com/elvradwi/status/1896185722857799920,2296875452,elvradwi
