conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1731664127075176863,2023-12-04T13:17:55.000Z,0,"Begal di Hamparan Perak Deliserdang Marak, Warga Pertanyakan Kinerja Polisi : Jangan Tidur Aja !

https://t.co/MnE0aqaPdO",1731664127075176863,,,in,,0,0,0,https://x.com/nusantara_kini/status/1731664127075176863,1720094652534263808,nusantara_kini
1731458040233382082,2023-12-03T23:39:00.000Z,0,duit APBN polri bukanya dipake buat improve kinerja polisi malah dipake buat beli radja nainggolan + pake duit nasabah bank BUMN pula hadehh,1731458040233382082,,,in,,0,0,0,https://x.com/franzzhermann/status/1731458040233382082,1251020766281261056,franzzhermann
1731172194271867119,2023-12-03T04:43:09.000Z,0,"Polres Cimahi Akan Panggil RW Mahmudin Sang Dalang Kisruh Internal Wilayah,GMPL Apresiasi Kinerja Polisi https://t.co/ZDE66y9kro",1731172194271867119,,,in,,0,0,0,https://x.com/SeputarInd65085/status/1731172194271867119,1680986041241722881,SeputarInd65085
1731139926987866322,2023-12-03T02:34:56.000Z,0,"Selamat HUT ke 77 Bhayangkara, Doni : Kami Mengapresiasi Kinerja Polisi https://t.co/0OI63cYQw8",1731139926987866322,,,in,,0,0,0,https://x.com/prokaltengdotco/status/1731139926987866322,1082029849,prokaltengdotco
1730784969709301864,2023-12-02T03:04:27.000Z,0,"Tim Hukum Kasus KDRT Apresiasi Kinerja Polda Maluku Utara, Desak Jaksa Tahan Oknum Polisi
 
https://t.co/6kwLRo5zeP",1730784969709301864,,,in,,0,0,0,https://x.com/Tribun_Ternate/status/1730784969709301864,1667089665554513921,Tribun_Ternate
1719051204955951208,2023-12-01T17:13:15.000Z,0,kamis (30/60) tepat sebulan. Lagi dan lagi rapat mengenai kerjasama mitra mengenai kinerja Polri. DAPET PENGETAHUAN BARU BGTT TENTANG KONDISI INTERNAL POLRI DAN PENGALAMAN LAPANGAN SENIOR BERSENTUHAN DENGAN POLISI-POLISI. WAHHH BGTT DEH RISPEK. SAMA RAPAT EVENT AKHIR TAHUN HUUU,1730636186518253741,,immadoe,in,,0,1,0,https://x.com/immadoe/status/1730636186518253741,785470327098707968,immadoe
1730385335639826855,2023-12-01T00:58:40.000Z,1,"@Aliya_tweet @WidasSatyo Enggak ada namanya Stockholm Syndrome,
Itu cuma buatan psikologis polisi sana buat nutup2in kinerja jelek mereka waktu kasus perampokan+penyanderaan",1730390925338390591,,Aliya_tweet,in,,0,2,1,https://x.com/m23walker/status/1730390925338390591,2203107266,m23walker
1732742413880590550,2023-12-07T15:43:50.000Z,4,"@cumabuatmisuhhh @ahriesonta @seeksixsuck Apapun kondisi hukumnya, polisi tetap akan jadi polisi. Seamburadulnya kinerja mereka, mereka gak akan dipecat. Itulah kenapa kasus2 di Indo porak poranda.",1732788013921608169,,cumabuatmisuhhh,in,,0,1,1,https://x.com/TxtNadia/status/1732788013921608169,696199469935669248,TxtNadia
1732603735950704723,2023-12-07T12:46:21.000Z,0,@muldirun @kompascom Kayak ndak paham kinerja polisi saja.,1732743348551831783,,,in,,0,0,0,https://x.com/Arbain_Mu/status/1732743348551831783,832498682264055810,Arbain_Mu
1732603735950704723,2023-12-07T11:17:54.000Z,0,"@kompascom Bravo polisi, kinerja anda hebat luar biasa saya suka saya suka",1732721088151646620,,kompascom,in,,0,0,0,https://x.com/Mancaaaaaaaaa/status/1732721088151646620,1211657691426279424,Mancaaaaaaaaa
1732603735950704723,2023-12-07T10:10:02.000Z,0,"@kompascom Ini hanya potret kecil dr kinerja polisi kita di KOTA BESAR JAKARTA, udah kebayang kan bagaimana kinerjanya di wilayah yg jauh dr sorotan kamera?",1732704010753417518,,kompascom,in,,0,0,0,https://x.com/serbasalahcuk/status/1732704010753417518,1661767470431236098,serbasalahcuk
1732667359729721427,2023-12-07T07:44:24.000Z,0,"Evaluasi kinerja anggota polsek lengkong

#divhumaspolri
#humaspoldajatim
#polisi
#polresnganjuk 
#kapolresnganjuk 
#muhammadchaniago2003
#polisinganjuk
#semangatmelayani 
#bolokuompolisi 
#wayahelaporkapolres
#babinkamtibmasnganjuk
#kebaikanbergulir
#polri
#polda jatim https://t.co/siIuI9LFAv",1732667359729721427,https://pbs.twimg.com/media/GAurxkpbIAA6AIi.jpg,,in,,0,0,0,https://x.com/HumasLengkong1/status/1732667359729721427,1598824618164264960,HumasLengkong1
1732628554092036257,2023-12-07T05:32:59.000Z,0,@vitawuw @kegblgnunfaedh polisi seperti biasa kinerja nya 0!!!!,1732634286094946413,,vitawuw,in,,0,0,0,https://x.com/kaisooaegi/status/1732634286094946413,2723352798,kaisooaegi
